グループ,グループ_en,質問,質問_en,回答,回答_en,補足,補足_en,リンク文言,リンク文言_en,リンクURL,公開
施工について,WORK,エアコンの設置場所のスペースはどれくらい空いていればいいですか？,How much clearance does the air conditioner need?,エアコンを分解いたしますので、上下左右に約5〜10cm空いていれば施工可能です。,"Because we disassemble the unit, roughly 5–10 cm of clearance on all sides is enough.",,,,,,TRUE
施工について,WORK,エアコンが稼働していない、またはエラーコードが出ていても施工できますか？,Can you clean a unit that will not run or is showing an error code?,上記の状態の場合、先にメーカー点検が必要となりますので、施工をお断りさせていただいております。,"In those cases a manufacturer inspection is needed first, so we have to decline the job.",,,,,,TRUE
施工について,WORK,複数台まとめて対応してもらえますか？,Can you handle several units at once?,対応可能です。台数が多めの場合は、何日かに分けて施工させていただく場合もございます。,Yes. For larger numbers of units we may split the work across several days.,,,,,,TRUE
施工について,WORK,古いエアコンでも施工してもらえますか？,Will you clean an older air conditioner?,エアコンの耐久年数が9〜10年のため、製造から9〜10年を超える商品は、現地判断の後にお断りする可能性がございます。あらかじめご了承ください。,"Air conditioners typically last 9–10 years, so units older than that may be declined after an on-site assessment. Thank you for your understanding.",,,,,,TRUE
料金・お支払いについて,PRICE,お支払い方法は何がありますか？,What payment methods do you accept?,現地での作業後、現金にてお支払いいただいております（現段階）。,"At present, cash on site after the work is completed.",※今後、請求書払いやクレジット決済等の導入も検討しております。,Invoicing and card payment are under consideration for the future.,,,,TRUE
料金・お支払いについて,PRICE,駐車場代はかかりますか？,Do I have to pay for parking?,駐車場代のみお客様のご負担となります。作業後、現地にて現金でお支払いをお願いいたします。,"Parking is the only cost you cover, payable in cash on site after the work.",※お借りできる駐車スペースがある場合は、費用は発生いたしません。,"If a parking space is available for us to use, there is no charge.",,,,TRUE
料金・お支払いについて,PRICE,キャンセル費用は発生しますか？,Is there a cancellation fee?,"前日までのご連絡であれば発生いたしません。当日のキャンセルはキャンセル料3,300円（税込）、訪問時のキャンセルは出張料として5,500円（税込）を頂戴しております。","Not if you tell us the day before. Same-day cancellation is ¥3,300 (incl. tax), and cancellation once we have arrived incurs a ¥5,500 (incl. tax) call-out fee.",,,,,,TRUE
料金・お支払いについて,PRICE,大阪府外でも来てもらえますか？,Do you travel outside Osaka Prefecture?,京都・滋賀・兵庫・奈良にもお伺いしております。ただし地域によっては、別途交通費が発生する場合がございます。詳しくは下記をご覧ください。,"We also visit Kyoto, Shiga, Hyogo and Nara, though a travel surcharge may apply depending on the area. See the page below.",,,対応エリア,service area,area.html,TRUE
保証・アフターサービスについて,WARRANTY,作業後に汚れが残っていた場合はどうなりますか？,What if dirt remains after the job?,施工後1週間以内であれば、無償で再施工いたします。お気づきの点がございましたらお早めにご連絡ください。,We will re-clean free of charge within one week. Please let us know as soon as you notice anything.,※カビ汚れや汚れの酷い箇所、色の変色・油焼けは取り切れない場合がございます。,"Heavy mould, severe soiling, discolouration and grease burns may not come out completely.",,,,TRUE
保証・アフターサービスについて,WARRANTY,作業中に破損した場合はどうなりますか？,What happens if something is damaged during the work?,作業中に発生した破損については、当社が保証いたします。,Any damage caused during the work is covered by us.,,,,,,TRUE
